municipio,uf,n,taxa_baixa
POA,SP,57302,0.560644
RIO GRANDE,RS,73786,0.521617
SAPUCAIA DO SUL,RS,51384,0.520707
VARGINHA,MG,59859,0.518335
PELOTAS,RS,134686,0.511939
VIAMAO,RS,84144,0.510839
ITAPETININGA,SP,61230,0.509391
IPATINGA,MG,97077,0.506979
LAGES,SC,65225,0.504561
MOGI GUACU,SP,56624,0.503391
BARRA MANSA,RJ,60716,0.503343
ALVORADA,RS,72934,0.503318
NOVO HAMBURGO,RS,124282,0.502921
MONTES CLAROS,MG,146995,0.501194
CANOAS,RS,156810,0.500274
CACHOEIRINHA,RS,64656,0.499521
PORTO ALEGRE,RS,789456,0.498916
OLINDA,PE,115390,0.498804
CATANDUVA,SP,50228,0.497053
SAO LEOPOLDO,RS,91025,0.496622
