natureza,n,taxa_baixa
Empresário (Individual),43345790,0.472452
Sociedade Empresária Limitada,16009755,0.382507
Candidato a Cargo Político Eletivo,2937404,0.99813
Associação Privada,1422733,0.407006
Sociedade Simples Limitada,810518,0.591687
Produtor Rural (Pessoa Física),631820,0.185977
Condomínio Edilício,332708,0.005209
Empresa Individual Imobiliária,215767,0.847178
Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),213285,0.996502
Sociedade Unipessoal de Advocacia,154347,0.093931
Órgão de Direção Local de Partido Político,144036,0.043586
Organização Religiosa,134258,0.037912
