regiao,porte,n,taxa_baixa
CENTRO-OESTE,DEMAIS,1077516,0.754191
CENTRO-OESTE,MICRO EMPRESA,4518566,0.39539
CENTRO-OESTE,EMPRESA DE PEQUENO PORTE,193528,0.168394
SUDESTE,DEMAIS,7363946,0.711732
SUL,MICRO EMPRESA,9391732,0.406571
SUL,EMPRESA DE PEQUENO PORTE,342578,0.17577
NORDESTE,DEMAIS,2669987,0.766101
NORTE,DEMAIS,835098,0.785037
SUDESTE,MICRO EMPRESA,25387232,0.401959
NORDESTE,MICRO EMPRESA,8626154,0.397647
SUDESTE,EMPRESA DE PEQUENO PORTE,1071012,0.205649
NORTE,MICRO EMPRESA,2462617,0.37157
NORTE,EMPRESA DE PEQUENO PORTE,142495,0.134313
SUL,DEMAIS,2655037,0.767204
NORDESTE,EMPRESA DE PEQUENO PORTE,268119,0.176101
