uf,n,taxa_baixa
RS,4579457,0.509502
MG,7326159,0.505793
RO,464060,0.498091
AL,643866,0.494072
SE,447719,0.490051
PE,2008053,0.489881
TO,454441,0.489456
RR,131613,0.486335
PB,864778,0.479879
MA,1008615,0.478785
AC,153774,0.473259
BA,3335615,0.471923
RN,766201,0.471422
CE,1910146,0.469626
PI,579267,0.468383
PR,4573680,0.46487
MS,895727,0.463993
ES,1415811,0.461788
GO,2437385,0.457151
SP,19333071,0.454788
AP,146831,0.454168
DF,1171376,0.453377
PA,1365232,0.45025
SC,3236210,0.44996
MT,1285122,0.444236
AM,724259,0.439096
RJ,5747149,0.43748
EX,169585,0.099236
