grupo,horizonte,dias,sobrevivencia_km,followup_suficiente,tempo_max_dias_grupo,n_inicial_grupo
1995_1999,1_ano,365,0.9641870237016085,True,11396,2916764
1995_1999,3_anos,1096,0.9114330127497442,True,11396,2916764
1995_1999,5_anos,1826,0.8830546454906825,True,11396,2916764
1995_1999,10_anos,3652,0.8062914929010218,True,11396,2916764
2000_2004,1_ano,365,0.8400544246231696,True,9570,3222071
2000_2004,3_anos,1096,0.8009016561087585,True,9570,3222071
2000_2004,5_anos,1826,0.7703470842200592,True,9570,3222071
2000_2004,10_anos,3652,0.6808592982587928,True,9570,3222071
2005_2009,1_ano,365,0.860690328076118,True,7743,3849503
2005_2009,3_anos,1096,0.81669789580629,True,7743,3849503
2005_2009,5_anos,1826,0.7836232365580698,True,7743,3849503
2005_2009,10_anos,3652,0.672216127640374,True,7743,3849503
2010_2014,1_ano,365,0.8819050323412106,True,5917,9156275
2010_2014,3_anos,1096,0.8007220185064375,True,5917,9156275
2010_2014,5_anos,1826,0.6788873204441775,True,5917,9156275
2010_2014,10_anos,3652,0.485069310390961,True,5917,9156275
2015_2019,1_ano,365,0.8467406940090801,True,4091,12753666
2015_2019,3_anos,1096,0.7374105610104582,True,4091,12753666
2015_2019,5_anos,1826,0.6604836601491677,True,4091,12753666
2015_2019,10_anos,3652,0.5083096477627627,True,4091,12753666
2020_2024,1_ano,365,0.8021418885739185,True,2265,20378371
2020_2024,3_anos,1096,0.6573757161351033,True,2265,20378371
2020_2024,5_anos,1826,0.5605527184545057,True,2265,20378371
2020_2024,10_anos,3652,,False,2265,20378371
2025_2026,1_ano,365,0.7940216085506524,True,438,6371811
2025_2026,3_anos,1096,,False,438,6371811
2025_2026,5_anos,1826,,False,438,6371811
2025_2026,10_anos,3652,,False,438,6371811
ATE_1994,1_ano,365,0.9570215631036539,True,49086,8526741
ATE_1994,3_anos,1096,0.8932619156603935,True,49086,8526741
ATE_1994,5_anos,1826,0.8522799038929445,True,49086,8526741
ATE_1994,10_anos,3652,0.7922073626957877,True,49086,8526741
