modelo,bin,score_medio_bin,taxa_real_bin
nao_calibrado,1,0.009217341311960718,0.010559053326253509
nao_calibrado,2,0.014814411165393943,0.01852610496608858
nao_calibrado,3,0.0270830263906671,0.02614250166899314
nao_calibrado,4,0.037028600274911776,0.04531589091405764
nao_calibrado,5,0.04844903639019749,0.06603143776172847
nao_calibrado,6,0.05897181365861529,0.06171210121512766
nao_calibrado,7,0.06883175817699176,0.06923917331795697
nao_calibrado,8,0.07996972276394355,0.08665737148399612
nao_calibrado,9,0.09663208799583262,0.10647248207994169
nao_calibrado,10,0.1426266569201349,0.1662264322798069
calibrado,1,0.010524277105363435,0.011306532663316583
calibrado,2,0.016925053812706915,0.020886928825186817
calibrado,3,0.027822350901446198,0.026791976434282508
calibrado,4,0.04164418630439326,0.04864564351236989
calibrado,5,0.05538926060240487,0.06570834024843293
calibrado,6,0.05928657721694994,0.06344333202262485
calibrado,7,0.06796486446888192,0.07086078129067136
calibrado,8,0.08583515920949623,0.08728401222631152
calibrado,9,0.10678751999303789,0.1074753517902384
calibrado,10,0.15075450210487465,0.16732265017336706
