grupo,n,taxa_evento,score_medio,roc_auc,pr_auc,brier,threshold_alto_risco,flagged_rate_alto_risco,precision_alto_risco,recall_alto_risco,f2_alto_risco,lift_alto_risco
47,149036,0.06434686921280765,0.057460660667097624,0.6851342977096153,0.12552599393638786,0.058514257867588515,0.11677631578947369,0.07420354813602083,0.16999728727733068,0.19603753910323254,0.19021024302393816,2.6418890205072216
56,51484,0.07905368658223914,0.06951603271277777,0.6556109398223542,0.13507336926208466,0.07109160143643077,0.11677631578947369,0.11197653639965814,0.1732870771899393,0.24545454545454545,0.22658199138126559,2.1920176614365685
43,39255,0.06888294484779009,0.0763849075779239,0.6052824949624573,0.10392706659416703,0.06355418175634939,0.11677631578947369,0.12800917080626673,0.12835820895522387,0.2385355029585799,0.2035856322201881,1.8634251081868762
96,35883,0.072624919878494,0.07802447984923681,0.5576272596005746,0.09331329703549571,0.0673566206686382,0.11677631578947369,0.12515675946827187,0.11356045424181696,0.19570222563315426,0.17096882333221589,1.5636568609206132
49,31966,0.07370330976662705,0.07936362097744987,0.6436496038769998,0.12850580633624495,0.06692046317628172,0.11677631578947369,0.1790652568353876,0.14150943396226415,0.3438030560271647,0.2673620279904938,1.919987506807188
82,29415,0.0869284378718341,0.07172457817784027,0.7013126772583095,0.1715587844177102,0.07637138676333355,0.11677631578947369,0.14428012918578956,0.1967483506126296,0.32655455612045364,0.2884881149806523,2.263337009491787
45,27777,0.051085430392050976,0.060701860267857156,0.6489331774272404,0.08502656350517923,0.048060651635737556,0.11677631578947369,0.08593440616337257,0.11353162966066192,0.19097956307258632,0.16805159369961553,2.2223876512221326
85,21476,0.0993667349599553,0.07376173258820798,0.6942022338110334,0.18095989255154898,0.08665216007430532,0.11677631578947369,0.155894952505122,0.2072879330943847,0.3252108716026242,0.29198922921575227,2.0860898084044077
73,20164,0.11193215631819084,0.0833898665634163,0.6399047443940594,0.17281570503247157,0.09774715199256076,0.11677631578947369,0.18285062487601667,0.19446704637917006,0.3176783340717767,0.2819504522217853,1.7373653182053987
94,18902,0.003650407364300074,0.012706052627079415,0.5278481265924676,0.004847304947643523,0.0037783500052005698,0.11677631578947369,0.0,0.0,0.0,0.0,0.0
